run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,train_loss,train_bce,train_mr,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads
uydg6fl5,run-20260413_235612-uydg6fl5,cora,random_set,GAT,128,3,0.0022371333819193014,0.04631135887064738,-1,0.5493311882019043,0.5491201281547546,0.05715053901076317,0.4655582010746002,0.5434530377388,0.485029935836792,0.5850910544395447,0.47151899337768555,0.5739437341690063,93.0,3,full_power_set,7
t20m4cy3,run-20260413_235634-t20m4cy3,cora,random_set,GAT,128,2,0.038121309923224815,0.09606284878812128,-1,0.6280932426452637,0.6275704503059387,0.1557229608297348,0.4655582010746002,0.6259564161300659,0.485029935836792,0.5,0.47151899337768555,0.5,59.0,3,full_power_set,7
plp7m83u,run-20260413_235654-plp7m83u,cora,random_set,GAT,64,3,0.08760262944377253,0.03780555599339045,-1,0.5650668144226074,0.5647976398468018,0.07693106681108475,0.4655582010746002,0.5600337386131287,0.485029935836792,0.3876301348209381,0.47151899337768555,0.3772832155227661,53.0,3,full_power_set,7
rhk1qpp8,run-20260413_235706-rhk1qpp8,cora,random_set,GAT,128,3,0.01467095526053575,0.02069453854517763,-1,0.22934949398040771,0.22926707565784454,0.024713367223739624,0.7814726829528809,0.2365018129348755,0.796407163143158,0.8195950388908386,0.7816455960273743,0.8357645869255066,200.0,3,full_power_set,7
gs1k02nf,run-20260413_235737-gs1k02nf,cora,random_set,GAT,256,3,0.0030026457615402215,0.025086547954326875,-1,0.26140013337135315,0.2613025903701782,0.03175994008779526,0.7814726829528809,0.2633912265300751,0.802395224571228,0.7822732925415039,0.7848101258277893,0.8003506660461426,200.0,3,full_power_set,7
ey8fkiep,run-20260413_235819-ey8fkiep,cora,random_set,GAT,256,3,0.0281728644779478,0.0266136560157798,-1,0.27148231863975525,0.2713775932788849,0.03035574033856392,0.7790973782539368,0.2728852927684784,0.802395224571228,0.7906888127326965,0.7848101258277893,0.8082019686698914,153.0,3,full_power_set,7
xi7bvu41,run-20260413_235851-xi7bvu41,cora,random_set,GAT,256,3,0.016441354300443307,0.013532751038997596,-1,0.06421215087175369,0.06416591256856918,0.015663992613554,0.9833729267120361,0.11067386716604233,0.9520958065986633,0.8766791224479675,0.9335442781448364,0.8824973106384277,186.0,3,full_power_set,7
a8zyg70o,run-20260413_235928-a8zyg70o,cora,random_set,GAT,256,3,0.009955911753062334,0.007244967517152614,-1,0.029948106035590172,0.029924703761935234,0.009032808244228363,0.9976246953010559,0.10203389823436737,0.940119743347168,0.8919458389282227,0.952531635761261,0.908311128616333,96.0,3,full_power_set,7
3e5nfuay,run-20260413_235959-3e5nfuay,cora,random_set,GAT,256,3,0.023410047983128873,0.009413955071950884,-1,0.042721547186374664,0.0426955409348011,0.008759950287640095,0.9881235361099243,0.12722152471542358,0.9281437397003174,0.8359137177467346,0.9398733973503113,0.847069501876831,96.0,3,full_power_set,7
dytxwr6i,run-20260414_000022-dytxwr6i,cora,random_set,GAT,256,3,0.012030245503836022,0.0017221511581408783,-1,0.006409301422536373,0.00640515424311161,0.001650117919780314,0.9976246953010559,0.12453711777925491,0.9341317415237427,0.8942115306854248,0.9335442781448364,0.904313862323761,79.0,3,full_power_set,7
