dataset,checkpoints,num_nodes,num_classes,num_focal_sets,standard_head_mean_ms,standard_head_std_ms,random_set_layer_mean_ms,random_set_layer_std_ms,additional_random_set_layer_mean_ms,additional_random_set_layer_std_ms
amazon_ratings,3,24492,3,7,0.4723273333333348,0.01543896577926924,0.8420283333333304,0.06467936602451321,0.3697009999999956,0.049435909124839764
arxiv,3,169343,3,7,3.0301796666666694,0.32810850051521223,5.7348886666666665,0.05018514224680843,2.7047089999999976,0.2794016114860663
chameleon,3,2277,3,7,0.06814233333332827,0.012220296082068526,0.13762099999999813,0.02002026882938498,0.06947866666666987,0.008038698671647984
coauthor,3,18333,11,43,0.8650103333333329,0.03037962780108126,1.352086666666672,0.024139416756274783,0.48707633333333905,0.006530314642736849
cora,3,2708,3,7,0.07094366666667185,0.009523987627716632,0.15049200000000576,0.02253006267190875,0.07954833333333393,0.021383968114770516
roman_empire,3,22662,13,45,0.9118143333333251,0.03310755370505046,1.5626956666666736,0.05385814724194014,0.6508813333333484,0.06919834459243315
squirrel,3,5201,3,7,0.13548699999998823,0.025980550860200843,0.24541399999999194,0.007137390489536763,0.10992700000000373,0.024708937026880536
