run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,train_loss,train_bce,train_mr,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads
jat12eri,run-20260404_060449-jat12eri,squirrel,random_set,GAT,256,3,0.05411166333181436,0.06241992478798377,-1,0.622317910194397,0.6218558549880981,0.13551296293735504,0.33927392959594727,0.622266948223114,0.33095723390579224,0.5,0.3231511116027832,0.4991961419582367,53.0,3,full_power_set,7
e55kqm2c,run-20260404_060551-e55kqm2c,squirrel,random_set,GAT,64,2,0.0178117879102026,0.05409947747508788,-1,0.6112799644470215,0.6108670234680176,0.12211359292268753,0.33927392959594727,0.6114875078201294,0.33095723390579224,0.5110045075416565,0.3231511116027832,0.5517059564590454,61.0,3,full_power_set,7
qoclw6xr,run-20260404_060638-qoclw6xr,squirrel,random_set,GAT,256,2,0.013528216782290528,0.010445283471163582,-1,0.5490498542785645,0.5489833950996399,0.024287689477205276,0.33993399143218994,0.5506845712661743,0.35132384300231934,0.6340298056602478,0.3376205861568451,0.647324800491333,63.0,3,full_power_set,7
hzg03rjh,run-20260404_060725-hzg03rjh,squirrel,random_set,GAT,256,3,0.02946632979824552,0.08345149295932976,-1,0.6319320201873779,0.6314314603805542,0.15043556690216064,0.33927392959594727,0.6321539878845215,0.33095723390579224,0.5,0.3231511116027832,0.5,56.0,3,full_power_set,7
xhg8venr,run-20260404_060838-xhg8venr,squirrel,random_set,GAT,256,2,0.025650890969630386,0.00703859840879943,-1,0.45368972420692444,0.45362234115600586,0.015482768416404724,0.5564356446266174,0.5453646183013916,0.39409369230270386,0.47489190101623535,0.40192925930023193,0.463901162147522,72.0,3,full_power_set,7
i603qqs6,run-20260404_060930-i603qqs6,squirrel,random_set,GAT,256,2,0.0928448748632796,0.0632174601891445,-1,0.6203965544700623,0.6199440360069275,0.1375805288553238,0.33927392959594727,0.6202132105827332,0.33095723390579224,0.5068303942680359,0.3231511116027832,0.5125969648361206,55.0,3,full_power_set,7
itmz1po5,run-20260404_061012-itmz1po5,squirrel,random_set,GAT,64,3,0.009960447183188424,0.030885114236760523,-1,0.5718318223953247,0.5716311931610107,0.05151595547795296,0.33927392959594727,0.5720285177230835,0.33095723390579224,0.5174102187156677,0.3231511116027832,0.5144598484039307,64.0,3,full_power_set,7
fdnetkt3,run-20260404_061044-fdnetkt3,squirrel,random_set,GAT,128,2,0.02866315059190442,0.04665806736096008,-1,0.6002537608146667,0.5998925566673279,0.1039869636297226,0.33927392959594727,0.6003841757774353,0.33095723390579224,0.48622867465019226,0.3231511116027832,0.4818163216114044,56.0,3,full_power_set,7
5gqlkfzn,run-20260404_061120-5gqlkfzn,squirrel,random_set,GAT,256,3,0.07157807321392617,0.092902609761217,-1,0.6361215710639954,0.6356046795845032,0.1551126390695572,0.33927392959594727,0.6363340616226196,0.33095723390579224,0.5,0.3231511116027832,0.5,55.0,3,full_power_set,7
2qjmz37i,run-20260404_061213-2qjmz37i,squirrel,random_set,GAT,64,2,0.06469563096610156,0.04432157512200448,-1,0.5959967374801636,0.5956572890281677,0.0992141142487526,0.33927392959594727,0.5959277153015137,0.33095723390579224,0.5585972666740417,0.3231511116027832,0.5514891743659973,54.0,3,full_power_set,7
m69sidom,run-20260404_061258-m69sidom,squirrel,random_set,GAT,128,2,0.09019157579961092,0.006282071637357517,-1,2.018244743347168,2.0181329250335693,0.06924105435609818,0.3379538059234619,1.2433165311813354,0.3177189528942108,0.5460809469223022,0.27009645104408264,0.5498564839363098,131.0,3,full_power_set,7
yyzx12r8,run-20260404_061417-yyzx12r8,squirrel,random_set,GAT,256,3,0.08653778379408722,0.029187218920995517,-1,0.5710334181785583,0.5708377957344055,0.05174978822469711,0.33927392959594727,0.5713202357292175,0.33095723390579224,0.5,0.3231511116027832,0.5,71.0,3,full_power_set,7
