run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,train_loss,train_bce,train_mr,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads
gb2i54us,run-20260406_035938-gb2i54us,coauthor,random_set,GAT,256,3,0.09924055464474948,0.07751862777050719,-1,0.6694474220275879,0.6651816964149475,0.26343369483947754,0.28389063477516174,0.671332597732544,0.27450308203697205,0.500668466091156,0.28208649158477783,0.5,66.0,11,budgeted,43
jpyd2knd,run-20260406_040332-jpyd2knd,coauthor,random_set,GAT,128,3,0.021474219872709123,0.09541833662766552,-1,0.6714904308319092,0.6698879599571228,0.24110549688339233,0.05367455631494522,0.6714822053909302,0.05483207851648331,0.5,0.04804088547825813,0.5,61.0,11,budgeted,43
abkttfwp,run-20260406_040631-abkttfwp,coauthor,random_set,GAT,256,2,0.013920835805140044,0.095181935777662,-1,0.6700838208198547,0.6675035357475281,0.25159212946891785,0.05085707828402519,0.6701578497886658,0.053228020668029785,0.45102906227111816,0.0580492727458477,0.4286447763442993,61.0,11,budgeted,43
qowmghtt,run-20260406_040938-qowmghtt,coauthor,random_set,GAT,256,3,0.0216747816357287,0.04534236857014175,-1,0.45739510655403137,0.45708397030830383,0.046131301671266556,0.2951752245426178,0.45100781321525574,0.27728813886642456,0.42978528141975403,0.2776646316051483,0.41626426577568054,97.0,11,budgeted,43
xtiovnci,run-20260406_041439-xtiovnci,coauthor,random_set,GAT,256,2,0.014416903576041171,0.015525952176676202,-1,0.32142964005470276,0.3213116526603699,0.03375333175063133,0.4775153398513794,0.3237525224685669,0.4849829375743866,0.6811210513114929,0.4637041985988617,0.6797008514404297,66.0,11,budgeted,43
icqobvul,run-20260406_041756-icqobvul,coauthor,random_set,GAT,64,3,0.09937558797800644,0.06368707104730693,-1,0.6641300916671753,0.6616641879081726,0.24426983296871185,0.053156521171331406,0.6639052629470825,0.04897260293364525,0.5225393772125244,0.055423326790332794,0.5014393925666809,55.0,11,budgeted,43
vh41aiko,run-20260406_042005-vh41aiko,coauthor,random_set,GAT,256,3,0.04164944281065471,0.011683024075824113,-1,0.348253071308136,0.3477540612220764,0.0321146585047245,0.427415668964386,0.3484833240509033,0.4332324266433716,0.5694276690483093,0.44735944271087646,0.5723011493682861,200.0,11,budgeted,43
l0skrkgk,run-20260406_042956-l0skrkgk,coauthor,random_set,GAT,128,2,0.011487393036906692,0.06934889187291829,-1,0.4746495485305786,0.47396835684776306,0.07659836858510971,0.2786885201931,0.4780609905719757,0.2604984641075134,0.4260735809803009,0.2753281593322754,0.43794459104537964,62.0,11,budgeted,43
fbrhs5tq,run-20260406_043232-fbrhs5tq,coauthor,random_set,GAT,128,2,0.01063758946104888,0.02128460711896186,-1,0.3677964508533478,0.3670538067817688,0.04566068574786186,0.4038570523262024,0.36459681391716003,0.4125590920448303,0.5519211888313293,0.4131406843662262,0.5712105631828308,67.0,11,budgeted,43
hgdpnyc6,run-20260406_043519-hgdpnyc6,coauthor,random_set,GAT,256,3,0.030955234118670898,0.012709683982779364,-1,0.31863242387771606,0.3181335926055908,0.027995284646749496,0.42172232270240784,0.31874972581863403,0.4388171434402466,0.6133084893226624,0.4248299300670624,0.6169979572296143,115.0,11,budgeted,43
x0479brp,run-20260406_044116-x0479brp,coauthor,random_set,GAT,256,2,0.007344914152426327,0.007365945449769283,-1,0.17636726796627045,0.1760776937007904,0.017705030739307404,0.7992692589759827,0.1809619665145874,0.8042310476303101,0.6850203275680542,0.8025780320167542,0.6784361600875854,200.0,11,budgeted,43
abarqq15,run-20260406_045024-abarqq15,coauthor,random_set,GAT,256,3,0.03999702284603647,0.004602358706126057,-1,0.3104701638221741,0.3101222813129425,0.03454073145985603,0.4291704297065735,0.30654558539390564,0.4406260550022125,0.6812310814857483,0.4358096420764923,0.6580042243003845,168.0,11,budgeted,43
hn79h4di,run-20260406_045848-hn79h4di,coauthor,random_set,GAT,256,2,0.006362645281208691,0.04114705818083303,-1,0.4456075429916382,0.44480541348457336,0.05974694713950157,0.30442196130752563,0.44266921281814575,0.3179677128791809,0.43958091735839844,0.31938251852989197,0.4510800838470459,67.0,11,budgeted,43
oq1xr3w3,run-20260406_050206-oq1xr3w3,coauthor,random_set,GAT,256,2,0.01821908120327228,0.020313131799254227,-1,0.3627518117427826,0.36214005947113037,0.04671419411897659,0.43233126401901245,0.3657720685005188,0.4075213670730591,0.61065274477005,0.43240490555763245,0.595638632774353,144.0,11,budgeted,43
mxcmbobb,run-20260406_050849-mxcmbobb,coauthor,random_set,GAT,256,2,0.047955175591492,0.00978179576878844,-1,0.29973116517066956,0.29922550916671753,0.031125398352742195,0.556352436542511,0.29638752341270447,0.5695858597755432,0.5948036909103394,0.5727826952934265,0.5977518558502197,114.0,11,budgeted,43
s0d4gdvw,run-20260406_051407-s0d4gdvw,coauthor,random_set,GAT,256,3,0.015696020341470145,0.022854535217188728,-1,0.40109801292419434,0.40018656849861145,0.047700949013233185,0.32001814246177673,0.39925113320350647,0.3067212700843811,0.5921667814254761,0.29955798387527466,0.5915449857711792,64.0,11,budgeted,43
dpowdzo1,run-20260406_051739-dpowdzo1,coauthor,random_set,GAT,256,3,0.07383634049078146,0.00907788486933161,-1,0.29682520031929016,0.29633015394210815,0.04265039786696434,0.4517847001552582,0.31126996874809265,0.4812563359737396,0.6916905641555786,0.4658385217189789,0.6662471890449524,147.0,11,budgeted,43
t8tujqyf,run-20260406_052505-t8tujqyf,coauthor,random_set,GAT,256,3,0.08574486927505488,0.02642518060808251,-1,0.48458871245384216,0.48292410373687744,0.07244793325662613,0.2866878807544708,0.4690968692302704,0.3116576671600342,0.4486806094646454,0.31593406200408936,0.44623231887817383,138.0,11,budgeted,43
gbe2v074,run-20260406_053215-gbe2v074,coauthor,random_set,GAT,256,3,0.026388883782378917,0.08527180031362674,-1,0.6714587807655334,0.6661096811294556,0.2798672318458557,0.14861316978931427,0.6715644598007202,0.15238739550113678,0.5,0.14848485589027405,0.5043771266937256,59.0,11,budgeted,43
ils5w4gv,run-20260406_053528-ils5w4gv,coauthor,random_set,GAT,128,3,0.07829095833188175,0.09454026142910406,-1,0.6743203401565552,0.669873058795929,0.2720146179199219,0.28041306138038635,0.6743754744529724,0.28913190960884094,0.5,0.27800408005714417,0.5,55.0,11,budgeted,43
xbp7g8vj,run-20260406_053754-xbp7g8vj,coauthor,random_set,GAT,256,3,0.021687509430649583,0.015822852305219945,-1,0.41202160716056824,0.4105784595012665,0.08048196882009506,0.429993212223053,0.4756283462047577,0.3008910119533539,0.48452600836753845,0.2780437767505646,0.49090972542762756,131.0,11,budgeted,43
nmlogvkd,run-20260406_054428-nmlogvkd,coauthor,random_set,GAT,256,2,0.034594515726431796,0.0014899515625114129,-1,0.06898422539234161,0.0688982754945755,0.005600490141659975,0.9393388628959656,0.0803186297416687,0.9264904856681824,0.8714582920074463,0.925571858882904,0.8722591400146484,200.0,11,budgeted,43
zg4u6dnw,run-20260406_055332-zg4u6dnw,coauthor,random_set,GAT,128,3,0.09826171503624297,0.06271923905703496,-1,0.6591325402259827,0.6575903296470642,0.23358936607837677,0.1411537528038025,0.6592178344726562,0.1374828964471817,0.5,0.13134732842445374,0.5,56.0,11,budgeted,43
gmmj1opc,run-20260406_055607-gmmj1opc,coauthor,random_set,GAT,64,3,0.06443366464997602,0.01740751416565246,-1,0.3971683382987976,0.396515429019928,0.052576497197151184,0.2815025746822357,0.4026707410812378,0.27852004766464233,0.5520544648170471,0.285906046628952,0.565594494342804,90.0,11,budgeted,43
c57bn217,run-20260406_055925-c57bn217,coauthor,random_set,GAT,64,3,0.044905890232051986,0.026506149580002327,-1,0.4575275182723999,0.45705926418304443,0.04532802477478981,0.28111857175827026,0.4549163579940796,0.29397836327552795,0.49699416756629944,0.2708972990512848,0.4836147725582123,64.0,11,budgeted,43
mdqt3mvi,run-20260406_060201-mdqt3mvi,coauthor,random_set,GAT,64,3,0.02473327061440981,0.03004238594247152,-1,0.48552602529525757,0.484497994184494,0.02691115252673626,0.2904283106327057,0.5065163373947144,0.26040592789649963,0.4355846345424652,0.2810792326927185,0.45144760608673096,62.0,11,budgeted,43
vehz21im,run-20260406_060430-vehz21im,coauthor,random_set,GAT,128,2,0.031236138693609933,0.06405910913795895,-1,0.4866659641265869,0.4853859841823578,0.09987565129995346,0.2852764129638672,0.46855148673057556,0.2844036817550659,0.45211488008499146,0.2851296067237854,0.4492257237434387,62.0,11,budgeted,43
7b1p3xkk,run-20260406_060706-7b1p3xkk,coauthor,random_set,GAT,128,3,0.07365792121463222,0.06244126546534953,-1,0.659917950630188,0.6565068960189819,0.25473856925964355,0.09439963847398758,0.6597074270248413,0.09788540005683899,0.501526415348053,0.09359104931354523,0.4996609091758728,68.0,11,budgeted,43
d0tqek4y,run-20260406_061002-d0tqek4y,coauthor,random_set,GAT,256,3,0.012950758397313227,0.05013450234432217,-1,0.6560461521148682,0.6527819633483887,0.24810995161533356,0.09719540923833847,0.655889093875885,0.09215017408132553,0.5,0.09093993902206421,0.5,65.0,11,budgeted,43
d0vc8gmx,run-20260406_061330-d0vc8gmx,coauthor,random_set,GAT,256,3,0.036203480526103095,0.045941640693057305,-1,0.6431229710578918,0.6399279236793518,0.24207502603530884,0.14889267086982727,0.6432707905769348,0.14993122220039368,0.5,0.15011779963970184,0.5,105.0,11,budgeted,43
8r44e1hn,run-20260406_061852-8r44e1hn,coauthor,random_set,GAT,256,2,0.04162952670556603,0.06706214103114681,-1,0.5031973719596863,0.5021558403968811,0.0842021033167839,0.2806977927684784,0.4969977140426636,0.28742310404777527,0.4473115801811218,0.2938566505908966,0.45067888498306274,94.0,11,budgeted,43
sq8bgdhn,run-20260406_062322-sq8bgdhn,coauthor,random_set,GAT,64,2,0.07910542602560525,0.0007840271820023207,-1,0.04383055865764618,0.04374607279896736,0.004463010001927614,0.9540282487869263,0.08507148176431656,0.912618100643158,0.9028224945068359,0.9092769622802734,0.9029823541641235,200.0,11,budgeted,43
80bjxo95,run-20260406_063007-80bjxo95,coauthor,random_set,GAT,64,3,0.08238926831107612,0.024452381855744654,-1,0.4586266875267029,0.45837458968162537,0.04160609468817711,0.30795493721961975,0.45820152759552,0.3622744381427765,0.4784468114376068,0.36283785104751587,0.4443739056587219,115.0,11,budgeted,43
uyclw7r1,run-20260406_063411-uyclw7r1,coauthor,random_set,GAT,64,3,0.04801674491703781,0.04013561776390512,-1,0.4089934825897217,0.4086591303348541,0.0435640774667263,0.29208600521087646,0.41352033615112305,0.2897574007511139,0.47022852301597595,0.2802826464176178,0.46592527627944946,85.0,11,budgeted,43
w8l2d7y9,run-20260406_063723-w8l2d7y9,coauthor,random_set,GAT,256,2,0.09522048372302822,0.059097309892823205,-1,0.4394599199295044,0.43877607583999634,0.07116641104221344,0.31343454122543335,0.4360697865486145,0.3375599682331085,0.4949367046356201,0.3325391411781311,0.5133641362190247,103.0,11,budgeted,43
