run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
21flae8w,run-20260322_152802-21flae8w,patents,random_set,GAT,64,2,0.05908292139945493,0.0787415817945985,256,False,full,False,False,False,0.6280415654182434,0.6275456547737122,0.1476234346628189,,0.4017094075679779,0.6295807957649231,0.3559924364089966,0.5,0.35477855801582336,0.5,135.0,3,full_power_set,7,standard_focal_sets__full
fzbtyr5o,run-20260322_204233-fzbtyr5o,patents,random_set,GAT,256,2,0.031211729417154194,0.015038221998688258,256,False,full,False,False,False,0.5479661226272583,0.5478960275650024,0.015947561711072922,,0.523809552192688,0.552906334400177,0.3553556799888611,0.4488188922405243,0.35615164041519165,0.2571614384651184,76.0,3,full_power_set,7,standard_focal_sets__full
il5bpao2,run-20260323_021314-il5bpao2,patents,random_set,GAT,256,2,0.03203622241759303,0.058600409088208,256,False,full,False,False,False,0.6182435750961304,0.6177969574928284,0.13193726539611816,,0.3870967626571655,0.6186370253562927,0.3542759120464325,0.44337475299835205,0.35470765829086304,0.4725557565689087,142.0,3,full_power_set,7,standard_focal_sets__full
8lkr1zwn,run-20260323_122209-8lkr1zwn,patents,random_set,GAT,128,2,0.06732710300314552,0.08653357748025169,256,False,full,False,False,False,0.6342954635620117,0.633786678314209,0.15243875980377197,,0.3056994676589966,0.634124219417572,0.3147924244403839,0.5,0.31330499053001404,0.5,69.0,3,full_power_set,7,standard_focal_sets__full
ojza3nhu,run-20260330_050228-ojza3nhu,patents,random_set,GAT,128,2,0.013813734580532203,0.015392952129797986,256,False,full,False,False,False,0.5541056394577026,0.5540390014648438,0.01514873094856739,,0.3333333432674408,0.5528162717819214,0.35607829689979553,0.4513888657093048,0.35490134358406067,0.3744971752166748,56.0,3,full_power_set,7,standard_focal_sets__full
t57c77m2,run-20260330_074527-t57c77m2,patents,random_set,GAT,128,2,0.04875134384525136,0.058781430230466135,256,False,full,False,False,False,0.6195085048675537,0.6190597414970398,0.13329699635505676,,0.4117647111415863,0.6199122071266174,0.33076363801956177,0.5,0.3291693925857544,0.5,105.0,3,full_power_set,7,standard_focal_sets__full
66z9ayzk,run-20260330_125616-66z9ayzk,patents,random_set,GAT,128,2,0.05545998461657677,0.047662904617382304,256,False,full,False,False,False,0.6021955609321594,0.6018226742744446,0.10962752997875214,,0.4716981053352356,0.602235734462738,0.35657766461372375,0.5,0.35680076479911804,0.4932432472705841,88.0,3,full_power_set,7,standard_focal_sets__full
b20eaiuy,run-20260330_171852-b20eaiuy,patents,random_set,GAT,128,2,0.0993989317110384,0.04898549345099636,256,False,full,False,False,False,0.6025512218475342,0.6021761894226074,0.10698720812797546,,0.3478260934352875,0.6034345626831055,0.3565952777862549,0.2992207407951355,0.3560473620891571,0.42143380641937256,96.0,3,full_power_set,7,standard_focal_sets__full
nqhsl304,run-20260331_035734-nqhsl304,patents,random_set,GAT,256,2,0.03067422610673862,0.024798296001475203,256,False,full,False,False,False,0.5592105984687805,0.5591151714324951,0.018463134765625,,0.3181818127632141,0.5590364933013916,0.3143002986907959,0.3910405933856964,0.3138604462146759,0.4700310230255127,51.0,3,full_power_set,7,standard_focal_sets__full
031yizvi,run-20260331_075742-031yizvi,patents,random_set,GAT,64,2,0.06873109958054868,0.059774743190011186,256,False,full,False,False,False,0.619993269443512,0.6195409893989563,0.13432902097702026,,0.3571428656578064,0.61970055103302,0.35619673132896423,0.5,0.35556262731552124,0.5,86.0,3,full_power_set,7,standard_focal_sets__full
2jfzedfd,run-20260331_113907-2jfzedfd,patents,random_set,GAT,128,2,0.09060987217470232,0.09592285295200131,256,False,full,False,False,False,0.6381048560142517,0.6375824809074402,0.15603972971439362,,0.3214285671710968,0.6372746229171753,0.35501134395599365,0.5,0.3555034101009369,0.5,54.0,3,full_power_set,7,standard_focal_sets__full
5kqtzn15,run-20260331_143022-5kqtzn15,patents,random_set,GAT,128,2,0.06109115973369348,0.08567264825835529,256,False,full,False,False,False,0.6334784626960754,0.6329715847969055,0.15145209431648254,,0.3211009204387665,0.6331436038017273,0.35514822602272034,0.5,0.35669180750846863,0.5,56.0,3,full_power_set,7,standard_focal_sets__full
h6fz4p3r,run-20260331_172655-h6fz4p3r,patents,random_set,GAT,64,2,0.03530316756645888,0.0923672407221751,256,False,full,False,False,False,0.6377586126327515,0.6372414231300354,0.15455737709999084,,0.2530120611190796,0.636014461517334,0.3555664122104645,0.4293747544288635,0.3555881381034851,0.486913800239563,123.0,3,full_power_set,7,standard_focal_sets__full
6nljedfr,run-20260331_223307-6nljedfr,patents,random_set,GAT,256,3,0.08544553135980196,0.09757397730324252,256,False,full,False,False,False,0.6383657455444336,0.6378409266471863,0.15685740113258362,,0.2868216931819916,0.6381212472915649,0.31447166204452515,0.5,0.31353774666786194,0.5,65.0,3,full_power_set,7,standard_focal_sets__full
vcsvfeen,run-20260401_111326-vcsvfeen,patents,random_set,GAT,128,3,0.09586615782892542,0.06302821979647241,256,False,full,False,False,False,0.6233800649642944,0.6229190230369568,0.13736779987812042,,0.3055555522441864,0.6219141483306885,0.35511815547943115,0.5,0.35590508580207825,0.5,127.0,3,full_power_set,7,standard_focal_sets__full
u3av844t,run-20260402_022928-u3av844t,patents,random_set,GAT,128,2,0.09620491168415472,0.05662068230691083,256,False,full,False,False,False,0.617857813835144,0.6174247860908508,0.12813960015773773,,0.29347825050354004,0.6156209707260132,0.35525786876678467,0.5384008288383484,0.35613659024238586,0.5634258985519409,78.0,3,full_power_set,7,standard_focal_sets__full
y4kio79n,run-20260402_072157-y4kio79n,patents,random_set,GAT,128,3,0.08102520058936408,0.03571375013854149,256,False,full,False,False,False,0.5819268822669983,0.5816541910171509,0.08044907450675964,,0.3791208863258362,0.5831683278083801,0.3563397526741028,0.43899452686309814,0.35538190603256226,0.31372547149658203,81.0,3,full_power_set,7,standard_focal_sets__full
e7wymow7,run-20260402_162511-e7wymow7,patents,random_set,GAT,128,2,0.09952306803037037,0.0931966422234261,256,False,full,False,False,False,0.6364427804946899,0.6359245777130127,0.1546030044555664,,0.3333333432674408,0.6360238790512085,0.3553035855293274,0.5,0.3558756411075592,0.5,97.0,3,full_power_set,7,standard_focal_sets__full
gghyjd85,run-20260402_213040-gghyjd85,patents,random_set,GAT,256,3,0.08749626607260468,0.0631613715327477,256,False,full,False,False,False,0.6215934753417969,0.6211326122283936,0.1369791328907013,,0.3358778655529022,0.6217506527900696,0.35647839307785034,0.5,0.3570416569709778,0.5,73.0,3,full_power_set,7,standard_focal_sets__full
w9qv2535,run-20260403_115629-w9qv2535,patents,random_set,GAT,128,2,0.09673015029511652,0.07608554709204557,256,False,full,False,False,False,0.6278596520423889,0.6273698806762695,0.14625602960586548,,0.38805970549583435,0.6289268136024475,0.35609957575798035,0.5,0.35479897260665894,0.5,54.0,3,full_power_set,7,standard_focal_sets__full
u3vxukuv,run-20260403_144709-u3vxukuv,patents,random_set,GAT,64,2,0.07932781257558794,0.02834439012620341,256,False,full,False,False,False,0.5645055174827576,0.5643647313117981,0.03767614811658859,,0.3333333432674408,0.5648686289787292,0.35574230551719666,0.5298885107040405,0.35496702790260315,0.5231814384460449,116.0,3,full_power_set,7,standard_focal_sets__full
46plh9fl,run-20260403_194559-46plh9fl,patents,random_set,GAT,128,2,0.0854111693775116,0.0407308629407704,256,False,full,False,False,False,0.5811015367507935,0.5808620452880859,0.0668414831161499,,0.3645833432674408,0.5844357013702393,0.33053258061408997,0.5267857313156128,0.33144456148147583,0.5154232978820801,129.0,3,full_power_set,7,standard_focal_sets__full
