run_id,run_name,dataset,model,gnn_type,hidden_channels,num_layers,lr,weight_decay,batch_size,singletons_only,loss_ablation,use_bce_loss,use_mr_loss,use_ms_loss,train_loss,train_bce,train_mr,train_ms,train_acc,val_loss,val_f1,val_auroc_entropy,test_acc_id,test_auroc_entropy,epoch,num_id_classes,focal_strategy,num_output_heads,ablation_group
m28q7q3c,run-20260404_191002-m28q7q3c,chameleon,random_set,GAT,256,2,0.06752981177854475,0.0254899838936358,-1,False,full,False,False,False,0.5614436864852905,0.5612947940826416,0.03941526636481285,,0.372488409280777,0.5586696267127991,0.4063926935195923,0.840237557888031,0.3695652186870575,0.8249295949935913,67.0,3,full_power_set,7,standard_focal_sets__full
bm63mvpw,run-20260404_191043-bm63mvpw,chameleon,random_set,GAT,64,2,0.0014934561958514529,0.02948454356850043,-1,False,full,False,False,False,0.5644498467445374,0.564282238483429,0.04336889833211899,,0.372488409280777,0.5618289709091187,0.4063926935195923,0.8399355411529541,0.3695652186870575,0.8265197277069092,200.0,3,full_power_set,7,standard_focal_sets__full
cbe3fhpe,run-20260404_191110-cbe3fhpe,chameleon,random_set,GAT,256,2,0.016599958588110593,0.034507745868146804,-1,False,full,False,False,False,0.5733203887939453,0.573097288608551,0.05916016176342964,,0.372488409280777,0.5708988308906555,0.4063926935195923,0.8396255970001221,0.3695652186870575,0.8265398740768433,56.0,3,full_power_set,7,standard_focal_sets__full
ed3xptv2,run-20260404_191136-ed3xptv2,chameleon,random_set,GAT,128,3,0.07181428917035872,0.040036391001166294,-1,False,full,False,False,False,0.5887026190757751,0.5883921980857849,0.08934224396944046,,0.372488409280777,0.5866916179656982,0.4063926935195923,0.5012003779411316,0.3695652186870575,0.48768115043640137,53.0,3,full_power_set,7,standard_focal_sets__full
mmft0d4q,run-20260404_191153-mmft0d4q,chameleon,random_set,GAT,128,2,0.05345666077194249,0.025536919406153265,-1,False,full,False,False,False,0.5621644854545593,0.5620129108428955,0.03844622150063515,,0.372488409280777,0.5593668818473816,0.4063926935195923,0.8395000100135803,0.3695652186870575,0.8263687491416931,56.0,3,full_power_set,7,standard_focal_sets__full
x2y57hbg,run-20260404_191209-x2y57hbg,chameleon,random_set,GAT,256,3,0.014845145528018518,0.024998114596183847,-1,False,full,False,False,False,0.5640407800674438,0.5638791918754578,0.03993301838636398,,0.372488409280777,0.5612701177597046,0.4063926935195923,0.7784996628761292,0.3695652186870575,0.7775764465332031,62.0,3,full_power_set,7,standard_focal_sets__full
lzw9iyt9,run-20260404_191231-lzw9iyt9,chameleon,random_set,GAT,64,2,0.07624556437922655,0.031720945525585034,-1,False,full,False,False,False,0.569896936416626,0.5696945190429688,0.05515509098768234,,0.372488409280777,0.5679386854171753,0.4063926935195923,0.8415713310241699,0.3695652186870575,0.826338529586792,54.0,3,full_power_set,7,standard_focal_sets__full
gc0axnnb,run-20260404_191251-gc0axnnb,chameleon,random_set,GAT,256,3,0.05636915875080187,0.020352646439174296,-1,False,full,False,False,False,0.5568272471427917,0.5567165017127991,0.026387764140963554,,0.372488409280777,0.5536930561065674,0.4063926935195923,0.8387351036071777,0.3695652186870575,0.8273047804832458,55.0,3,full_power_set,7,standard_focal_sets__full
g5p3ncur,run-20260404_191314-g5p3ncur,chameleon,random_set,GAT,64,2,0.018952537166634087,0.009795545565336633,-1,False,full,False,False,False,0.2498742938041687,0.24981890618801117,0.023942532017827034,,0.854714035987854,0.49376553297042847,0.5593607425689697,0.4680286645889282,0.5869565010070801,0.48457127809524536,63.0,3,full_power_set,7,standard_focal_sets__full
2krslgyf,run-20260404_191330-2krslgyf,chameleon,random_set,GAT,256,2,0.06232209533877138,0.04250839242868024,-1,False,full,False,False,False,0.5915853381156921,0.5912604331970215,0.09532713145017624,,0.372488409280777,0.5896438360214233,0.4063926935195923,0.7482229471206665,0.3695652186870575,0.7573167681694031,59.0,3,full_power_set,7,standard_focal_sets__full
qzt8933n,run-20260404_191352-qzt8933n,chameleon,random_set,GAT,256,2,0.051361080806360385,0.026127452898116653,-1,False,full,False,False,False,0.5624198317527771,0.5622665286064148,0.03816333785653114,,0.372488409280777,0.5591866374015808,0.4063926935195923,0.840512216091156,0.3695652186870575,0.8272141218185425,62.0,3,full_power_set,7,standard_focal_sets__full
9fnat5qu,run-20260404_191413-9fnat5qu,chameleon,random_set,GAT,256,3,0.08870946153791671,0.03774866520278644,-1,False,full,False,False,False,0.5833192467689514,0.583037793636322,0.07974942028522491,,0.372488409280777,0.5812969207763672,0.4063926935195923,0.5243256688117981,0.3695652186870575,0.5135265588760376,81.0,3,full_power_set,7,standard_focal_sets__full
u4f195ix,run-20260404_191439-u4f195ix,chameleon,random_set,GAT,128,3,0.046965665800623835,0.0927548933950883,-1,False,full,False,False,False,0.6343555450439453,0.6338415145874023,0.1545485109090805,,0.372488409280777,0.6334267258644104,0.4063926935195923,0.5,0.3695652186870575,0.5,66.0,3,full_power_set,7,standard_focal_sets__full
3g7g1bts,run-20260404_191505-3g7g1bts,chameleon,random_set,GAT,128,2,0.08081882443762019,0.02038744508949283,-1,False,full,False,False,False,0.5558723211288452,0.5557567477226257,0.03026857227087021,,0.372488409280777,0.5529618263244629,0.4063926935195923,0.8400570154190063,0.3695652186870575,0.8281903862953186,56.0,3,full_power_set,7,standard_focal_sets__full
